	chrom_region	start_region	end_region	region_number	chrom_gene	start_gene	end_gene	gene_name	gene_number	distance
1064	chr1	35930893	35931393	10029	chr1	35930718	36072500	AGO3	33	175
1065	chr1	35931696	35932196	10030	chr1	35930718	36072500	AGO3	33	978
1078	chr1	36796047	36796547	10279	chr1	36795527	37034515	GRIK3	34	520
1181	chr1	37808978	37809478	10594	chr1	37809574	37859592	MTF1	36	596
1201	chr1	42176883	42177383	11791	chr1	42176539	42335877	FOXJ3	38	344
1202	chr1	42177479	42177979	11792	chr1	42176539	42335877	FOXJ3	38	940
1227	chr1	43358614	43359114	12018	chr1	43358981	43363203	CDC20	39	367
1228	chr1	43974008	43974508	12176	chr1	43974487	43978295	ATP6V0B	40	479
1229	chr1	43974626	43975126	12177	chr1	43974487	43978295	ATP6V0B	40	139
1235	chr1	43978104	43978604	12181	chr1	43978943	43991170	B4GALT2	41	839
1237	chr1	43978928	43979428	12182	chr1	43978943	43991170	B4GALT2	41	15
1238	chr1	43979666	43980166	12183	chr1	43978943	43991170	B4GALT2	41	723
1319	chr1	50023116	50023616	13227	chr1	50024029	50203786	ELAVL4	45	913
1320	chr1	50023710	50024210	13228	chr1	50024029	50203786	ELAVL4	45	319
1384	chr1	52141158	52141658	13524	chr1	52142094	52346686	ZFYVE9	47	936
1385	chr1	52141794	52142294	13525	chr1	52142094	52346686	ZFYVE9	47	300
1386	chr1	52142487	52142987	13526	chr1	52142094	52346686	ZFYVE9	47	393
1403	chr1	53237653	53238153	13685	chr1	53238550	53246482	AL606760.1	48	897
1404	chr1	53238328	53238828	13686	chr1	53238550	53246482	AL606760.1	48	222
1405	chr1	53238994	53239494	13687	chr1	53238550	53246482	AL606760.1	48	444
1408	chr1	53765727	53766227	13927	chr1	53765478	53838463	NDC1	49	249
1419	chr1	54224624	54225124	14007	chr1	54225432	54413479	SSBP3	51	808
1420	chr1	54225898	54226398	14008	chr1	54225432	54413479	SSBP3	51	466
1528	chr1	56644513	56645013	14487	chr1	56645314	56715335	PRKAA2	52	801
1529	chr1	56645091	56645591	14488	chr1	56645314	56715335	PRKAA2	52	223
1530	chr1	56645618	56646118	14489	chr1	56645314	56715335	PRKAA2	52	304
1534	chr1	60865146	60865646	15318	chr1	60865259	61462788	NFIA	53	113
1535	chr1	60865687	60866187	15319	chr1	60865259	61462788	NFIA	53	428
1840	chr1	63367304	63367804	15907	chr1	63367575	63438553	ALG6	54	271
1841	chr1	63367816	63368316	15908	chr1	63367575	63438553	ALG6	54	241
1843	chr1	64469902	64470402	16054	chr1	64470129	64693058	CACHD1	55	227
1844	chr1	64470534	64471034	16055	chr1	64470129	64693058	CACHD1	55	405
1912	chr1	64744775	64745275	16131	chr1	64745095	64833232	RAVER2	56	320
1913	chr1	64745765	64746265	16132	chr1	64745095	64833232	RAVER2	56	670
1982	chr1	65420153	65420653	16258	chr1	65420652	65641559	LEPR	58	499
1983	chr1	65420708	65421208	16259	chr1	65420652	65641559	LEPR	58	56
1984	chr1	65421493	65421993	16260	chr1	65420652	65641559	LEPR	58	841
2001	chr1	66532590	66533090	16428	chr1	66533383	66751139	SGIP1	59	793
2002	chr1	66533195	66533695	16429	chr1	66533383	66751139	SGIP1	59	188
2003	chr1	66533803	66534303	16430	chr1	66533383	66751139	SGIP1	59	420
2004	chr1	66534352	66534852	16431	chr1	66533383	66751139	SGIP1	59	969
2165	chr1	76867204	76867704	17876	chr1	76867480	77067546	ST6GALNAC5	62	276
2166	chr1	76868266	76868766	17877	chr1	76867480	77067546	ST6GALNAC5	62	786
2214	chr1	77779363	77779863	18007	chr1	77779624	77879539	MIGA1	63	261
2215	chr1	77779971	77780471	18008	chr1	77779624	77879539	MIGA1	63	347
2222	chr1	81305894	81306394	18317	chr1	81306160	81992436	ADGRL2	64	266
2348	chr1	84077737	84078237	18691	chr1	84078062	84238498	PRKACB	65	325
2349	chr1	84078360	84078860	18692	chr1	84078062	84238498	PRKACB	65	298
2370	chr1	84643184	84643684	18775	chr1	84643707	84690803	SSX2IP	66	523
2408	chr1	92298096	92298596	19884	chr1	92299059	92402056	RPAP2	68	963
2409	chr1	92298749	92299249	19885	chr1	92299059	92402056	RPAP2	68	310
2410	chr1	92299727	92300227	19886	chr1	92299059	92402056	RPAP2	68	668
2415	chr1	93078387	93078887	19966	chr1	93079235	93139079	MTF2	69	848
2416	chr1	93078911	93079411	19967	chr1	93079235	93139079	MTF2	69	324
2417	chr1	93079673	93080173	19968	chr1	93079235	93139079	MTF2	69	438
2506	chr1	94418067	94418567	20187	chr1	94418389	94518666	ABCD3	71	322
2507	chr1	94418587	94419087	20188	chr1	94418389	94518666	ABCD3	71	198
2508	chr1	94419114	94419614	20189	chr1	94418389	94518666	ABCD3	71	725
2524	chr1	94528304	94528804	20211	chr1	94529173	94541759	F3	72	869
2525	chr1	94528944	94529444	20212	chr1	94529173	94541759	F3	72	229
2537	chr1	99849787	99850287	21055	chr1	99850361	99924023	AGL	73	574
2538	chr1	99850346	99850846	21056	chr1	99850361	99924023	AGL	73	15
2539	chr1	99850864	99851364	21057	chr1	99850361	99924023	AGL	73	503
2541	chr1	99969712	99970212	21060	chr1	99969351	100035634	SLC35A3	74	361
2542	chr1	99970221	99970721	21061	chr1	99969351	100035634	SLC35A3	74	870
2546	chr1	100187892	100188392	21081	chr1	100186919	100249834	DBT	75	973
2557	chr1	100895193	100895693	21171	chr1	100896076	100981757	SLC30A7	76	883
2558	chr1	100895809	100896309	21172	chr1	100896076	100981757	SLC30A7	76	267
2559	chr1	100896614	100897114	21173	chr1	100896076	100981757	SLC30A7	76	538
2594	chr1	102877090	102877590	21349	chr1	102876467	103108872	COL11A1	78	623
2629	chr1	103525162	103525662	21411	chr1	103525691	103555239	RNPC3	79	529
2630	chr1	103525682	103526182	21412	chr1	103525691	103555239	RNPC3	79	9
2631	chr1	103526280	103526780	21413	chr1	103525691	103555239	RNPC3	79	589
2632	chr1	109279750	109280250	21927	chr1	109279556	109283186	PSRC1	80	194
2637	chr1	109548325	109548825	22011	chr1	109548615	109618324	GNAI3	81	290
2638	chr1	109548981	109549481	22012	chr1	109548615	109618324	GNAI3	81	366
2651	chr1	109909459	109909959	22090	chr1	109910242	109930992	CSF1	82	783
2652	chr1	109910457	109910957	22091	chr1	109910242	109930992	CSF1	82	215
2653	chr1	109911003	109911503	22092	chr1	109910242	109930992	CSF1	82	761
2662	chr1	109984438	109984938	22105	chr1	109984765	110023742	AHCYL1	83	327
2663	chr1	109985083	109985583	22106	chr1	109984765	110023742	AHCYL1	83	318
2677	chr1	110031088	110031588	22121	chr1	110031577	110074641	STRIP1	84	489
2699	chr1	110337728	110338228	22244	chr1	110338506	110346681	RBM15	85	778
2700	chr1	110338284	110338784	22245	chr1	110338506	110346681	RBM15	85	222
2701	chr1	110338997	110339497	22246	chr1	110338506	110346681	RBM15	85	491
2709	chr1	111139658	111140158	22420	chr1	111139627	111185104	CEPT1	88	31
2711	chr1	111140208	111140708	22421	chr1	111139627	111185104	CEPT1	88	581
2718	chr1	111754395	111754895	22495	chr1	111755245	111768000	DDX20	89	850
2719	chr1	111755358	111755858	22496	chr1	111755245	111768000	DDX20	89	113
2720	chr1	111755908	111756408	22497	chr1	111755245	111768000	DDX20	89	663
2723	chr1	113072261	113072761	22778	chr1	113073198	113132260	LRIG2	90	937
2724	chr1	113072864	113073364	22779	chr1	113073198	113132260	LRIG2	90	334
2725	chr1	113073379	113073879	22780	chr1	113073198	113132260	LRIG2	90	181
2736	chr1	113389971	113390471	22829	chr1	113390515	113685923	MAGI3	91	544
2737	chr1	113390786	113391286	22830	chr1	113390515	113685923	MAGI3	91	271
2790	chr1	114088719	114089219	22925	chr1	114089291	114153919	SYT6	94	572
2816	chr1	116573559	116574059	23275	chr1	116574399	116667755	IGSF3	95	840
2817	chr1	116574531	116575031	23276	chr1	116574399	116667755	IGSF3	95	132
2846	chr1	117366533	117367033	23499	chr1	117367449	117528872	MAN1A2	96	916
2847	chr1	117367147	117367647	23500	chr1	117367449	117528872	MAN1A2	96	302
2848	chr1	117367798	117368298	23501	chr1	117367449	117528872	MAN1A2	96	349
2866	chr1	145607690	145608190	23862	chr1	145607988	145670650	GPR89A	97	298
2878	chr1	150321238	150321738	24288	chr1	150321479	150353233	PRPF3	100	241
2879	chr1	150321841	150322341	24289	chr1	150321479	150353233	PRPF3	100	362
2881	chr1	150362609	150363109	24291	chr1	150363091	150476566	RPRD2	101	482
2882	chr1	150363210	150363710	24292	chr1	150363091	150476566	RPRD2	101	119
2883	chr1	150363764	150364264	24293	chr1	150363091	150476566	RPRD2	101	673
2903	chr1	151070239	151070739	24436	chr1	151070578	151125542	GABPB2	102	339
2904	chr1	151070934	151071434	24437	chr1	151070578	151125542	GABPB2	102	356
3030	chr1	155687854	155688354	25345	chr1	155687960	155739010	DAP3	105	106
3031	chr1	155688510	155689010	25346	chr1	155687960	155739010	DAP3	105	550
3043	chr1	156403793	156404293	25591	chr1	156404250	156456763	C1orf61	106	457
3044	chr1	156404939	156405439	25592	chr1	156404250	156456763	C1orf61	106	689
3104	chr1	156463221	156463721	25653	chr1	156463727	156500779	MEF2D	107	506
3133	chr1	156641073	156641573	25727	chr1	156641390	156659532	BCAN	108	317
3134	chr1	156641754	156642254	25728	chr1	156641390	156659532	BCAN	108	364
3135	chr1	156642265	156642765	25729	chr1	156641390	156659532	BCAN	108	875
3149	chr1	158999607	159000107	26061	chr1	158999968	159055155	IFI16	109	361
3150	chr1	159000582	159001082	26062	chr1	158999968	159055155	IFI16	109	614
3155	chr1	159170707	159171207	26082	chr1	159171609	159203313	CADM3	110	902
3156	chr1	159171304	159171804	26083	chr1	159171609	159203313	CADM3	110	305
3157	chr1	159171965	159172465	26084	chr1	159171609	159203313	CADM3	110	356
3173	chr1	161037610	161038110	26399	chr1	161037631	161038977	TSTD1	111	21
3174	chr1	161038144	161038644	26400	chr1	161037631	161038977	TSTD1	111	513
3177	chr1	162069430	162069930	26567	chr1	162069691	162370475	NOS1AP	112	261
3178	chr1	162070140	162070640	26568	chr1	162069691	162370475	NOS1AP	112	449
3287	chr1	162631418	162631918	26702	chr1	162631373	162787405	DDR2	113	45
3288	chr1	162632193	162632693	26703	chr1	162631373	162787405	DDR2	113	820
3301	chr1	166057584	166058084	27323	chr1	166057426	166166969	FAM78B	114	158
3323	chr1	167934805	167935305	27637	chr1	167935783	168075843	DCAF6	115	978
3324	chr1	167935373	167935873	27638	chr1	167935783	168075843	DCAF6	115	410
3325	chr1	167936332	167936832	27639	chr1	167935783	168075843	DCAF6	115	549
3342	chr1	169104768	169105268	27789	chr1	169105697	169132722	ATP1B1	116	929
3343	chr1	169105468	169105968	27790	chr1	169105697	169132722	ATP1B1	116	229
3344	chr1	169105989	169106489	27791	chr1	169105697	169132722	ATP1B1	116	292
3354	chr1	169367099	169367599	27831	chr1	169367970	169396540	BLZF1	117	871
3355	chr1	169367619	169368119	27832	chr1	169367970	169396540	BLZF1	117	351
3356	chr1	169368347	169368847	27833	chr1	169367970	169396540	BLZF1	117	377
3357	chr1	172531952	172532452	28165	chr1	172532349	172611833	SUCO	118	397
3358	chr1	172532728	172533228	28166	chr1	172532349	172611833	SUCO	118	379
3373	chr1	173418219	173418719	28226	chr1	173417793	173489407	AL645568.1	120	426
3386	chr1	173714684	173715184	28259	chr1	173714941	173786692	KLHL20	121	257
3387	chr1	173715260	173715760	28260	chr1	173714941	173786692	KLHL20	121	319
3389	chr1	173867205	173867705	28270	chr1	173868082	173903549	ZBTB37	122	877
3390	chr1	173867856	173868356	28271	chr1	173868082	173903549	ZBTB37	122	226
3391	chr1	173868426	173868926	28272	chr1	173868082	173903549	ZBTB37	122	344
3395	chr1	174159149	174159649	28292	chr1	174159410	174995308	RABGAP1L	123	261
3396	chr1	174159778	174160278	28293	chr1	174159410	174995308	RABGAP1L	123	368
3510	chr1	175314201	175314701	28466	chr1	175315194	175743616	TNR	124	993
3677	chr1	178093412	178093912	28961	chr1	178094141	178484147	RASAL2	126	729
3678	chr1	178094171	178094671	28962	chr1	178094141	178484147	RASAL2	126	30
3679	chr1	178094692	178095192	28963	chr1	178094141	178484147	RASAL2	126	551
3729	chr1	178724357	178724857	29045	chr1	178725147	178921841	RALGPS2	127	790
3730	chr1	178724959	178725459	29046	chr1	178725147	178921841	RALGPS2	127	188
3731	chr1	178725592	178726092	29047	chr1	178725147	178921841	RALGPS2	127	445
3748	chr1	179953884	179954384	29197	chr1	179954773	180114875	CEP350	128	889
3749	chr1	179954452	179954952	29198	chr1	179954773	180114875	CEP350	128	321
3750	chr1	179954985	179955485	29199	chr1	179954773	180114875	CEP350	128	212
3759	chr1	181317444	181317944	29586	chr1	181317690	181808084	CACNA1E	129	246
3760	chr1	181318218	181318718	29587	chr1	181317690	181808084	CACNA1E	129	528
3866	chr1	185156263	185156763	30387	chr1	185157080	185291781	SWT1	130	817
3867	chr1	185156858	185157358	30388	chr1	185157080	185291781	SWT1	130	222
3868	chr1	185157605	185158105	30389	chr1	185157080	185291781	SWT1	130	525
3885	chr1	192575521	192576021	31036	chr1	192575763	192580024	RGS1	133	242
3887	chr1	192808129	192808629	31056	chr1	192809039	192812275	RGS2	134	910
3888	chr1	192808715	192809215	31057	chr1	192809039	192812275	RGS2	134	324
3889	chr1	192809220	192809720	31058	chr1	192809039	192812275	RGS2	134	181
3890	chr1	192809763	192810263	31059	chr1	192809039	192812275	RGS2	134	724
3893	chr1	193179091	193179591	31095	chr1	193178730	193186613	B3GALT2	135	361
3964	chr1	197153807	197154307	31477	chr1	197153680	197200542	ZBTB41	138	127
4010	chr1	198156064	198156564	31650	chr1	198156994	198322420	NEK7	140	930
4011	chr1	198156737	198157237	31651	chr1	198156994	198322420	NEK7	140	257
4012	chr1	198157401	198157901	31652	chr1	198156994	198322420	NEK7	140	407
4071	chr1	200968945	200969445	32101	chr1	200969390	201023700	KIF21B	143	445
4072	chr1	200969773	200970273	32102	chr1	200969390	201023700	KIF21B	143	383
4114	chr1	201687782	201688282	32410	chr1	201688259	201829559	IPO9-AS1	144	477
4115	chr1	201688465	201688965	32411	chr1	201688259	201829559	IPO9-AS1	144	206
4179	chr1	201828883	201829383	32474	chr1	201829149	201884291	IPO9	145	266
4181	chr1	201829536	201830036	32475	chr1	201829149	201884291	IPO9	145	387
4193	chr1	202347840	202348340	32635	chr1	202348699	202592706	PPP1R12B	146	859
4194	chr1	202348395	202348895	32636	chr1	202348699	202592706	PPP1R12B	146	304
4195	chr1	202349061	202349561	32637	chr1	202348699	202592706	PPP1R12B	146	362
4241	chr1	203304638	203305138	32876	chr1	203305491	203309602	BTG2	147	853
4242	chr1	203305158	203305658	32877	chr1	203305491	203309602	BTG2	147	333
4243	chr1	203305679	203306179	32878	chr1	203305491	203309602	BTG2	147	188
4244	chr1	203306489	203306989	32879	chr1	203305491	203309602	BTG2	147	998
4250	chr1	203625576	203626076	33004	chr1	203626561	203744081	ATP2B4	148	985
4251	chr1	203626526	203627026	33005	chr1	203626561	203744081	ATP2B4	148	35
4252	chr1	203627258	203627758	33006	chr1	203626561	203744081	ATP2B4	148	697
4296	chr1	204218518	204219018	33137	chr1	204218853	204377665	PLEKHA6	149	335
4368	chr1	204616578	204617078	33284	chr1	204617170	204685738	LRRN2	150	592
4369	chr1	204617807	204618307	33285	chr1	204617170	204685738	LRRN2	150	637
4405	chr1	204828356	204828856	33372	chr1	204828651	205022822	NFASC	151	295
4406	chr1	204829144	204829644	33373	chr1	204828651	205022822	NFASC	151	493
4498	chr1	205141559	205142059	33506	chr1	205142505	205211702	DSTYK	152	946
4510	chr1	205335548	205336048	33578	chr1	205336065	205357090	KLHDC8A	153	517
4511	chr1	205336916	205337416	33579	chr1	205336065	205357090	KLHDC8A	153	851
4590	chr1	211258149	211258649	34944	chr1	211258377	211316385	RCOR3	156	228
4591	chr1	211259054	211259554	34945	chr1	211258377	211316385	RCOR3	156	677
4604	chr1	213982639	213983139	35350	chr1	213983181	214041510	PROX1	157	542
4605	chr1	213983223	213983723	35351	chr1	213983181	214041510	PROX1	157	42
4606	chr1	213983785	213984285	35352	chr1	213983181	214041510	PROX1	157	604
4643	chr1	214602886	214603386	35504	chr1	214603195	214664571	CENPF	158	309
4644	chr1	214603840	214604340	35505	chr1	214603195	214664571	CENPF	158	645
4662	chr1	216502797	216503297	35702	chr1	216503246	217137755	ESRRG	159	449
4820	chr1	218284495	218284995	35955	chr1	218285293	218337983	RRP15	160	798
4821	chr1	218284998	218285498	35956	chr1	218285293	218337983	RRP15	160	295
4822	chr1	218286090	218286590	35957	chr1	218285293	218337983	RRP15	160	797
4829	chr1	218345019	218345519	35965	chr1	218345336	218444619	TGFB2	161	317
4830	chr1	218345760	218346260	35966	chr1	218345336	218444619	TGFB2	161	424
4867	chr1	220527889	220528389	36278	chr1	220528183	220664461	MARK1	162	294
4868	chr1	220528772	220529272	36279	chr1	220528183	220664461	MARK1	162	589
4905	chr1	223701212	223701712	36762	chr1	223701593	223776018	CAPN2	163	381
4938	chr1	224356580	224357080	36860	chr1	224356858	224379459	CNIH4	164	278
4939	chr1	224357260	224357760	36861	chr1	224356858	224379459	CNIH4	164	402
4940	chr1	224357833	224358333	36862	chr1	224356858	224379459	CNIH4	164	975
4970	chr1	228081717	228082217	37544	chr1	228082660	228099212	ARF1	166	943
4971	chr1	228082397	228082897	37545	chr1	228082660	228099212	ARF1	166	263
4972	chr1	228083172	228083672	37546	chr1	228082660	228099212	ARF1	166	512
4987	chr1	228735123	228735623	37694	chr1	228735479	228746664	RHOU	167	356
4988	chr1	228735625	228736125	37695	chr1	228735479	228746664	RHOU	167	146
4989	chr1	228736283	228736783	37696	chr1	228735479	228746664	RHOU	167	804
4999	chr1	230313716	230314216	38127	chr1	230314490	230426332	PGBD5	169	774
5000	chr1	230314417	230314917	38128	chr1	230314490	230426332	PGBD5	169	73
5001	chr1	230315292	230315792	38129	chr1	230314490	230426332	PGBD5	169	802
5062	chr1	230906139	230906639	38336	chr1	230906243	230978875	TTC13	170	104
5063	chr1	230906938	230907438	38337	chr1	230906243	230978875	TTC13	170	695
5078	chr1	231161810	231162310	38380	chr1	231162112	231221556	TRIM67	171	302
5079	chr1	231162368	231162868	38381	chr1	231162112	231221556	TRIM67	171	256
5080	chr1	231162951	231163451	38382	chr1	231162112	231221556	TRIM67	171	839
5093	chr1	231240336	231240836	38398	chr1	231241207	231277973	GNPAT	172	871
5094	chr1	231240968	231241468	38399	chr1	231241207	231277973	GNPAT	172	239
5095	chr1	231241615	231242115	38400	chr1	231241207	231277973	GNPAT	172	408
5098	chr1	231626547	231627047	38446	chr1	231626815	232041272	DISC1	173	268
5099	chr1	231627244	231627744	38447	chr1	231626815	232041272	DISC1	173	429
5323	chr1	233613232	233613732	38863	chr1	233614106	233672514	KCNK1	176	874
5324	chr1	233613949	233614449	38864	chr1	233614106	233672514	KCNK1	176	157
5337	chr1	235660886	235661386	39325	chr1	235661041	235883640	LYST	177	155
5338	chr1	235661465	235661965	39326	chr1	235661041	235883640	LYST	177	424
5434	chr1	237041790	237042290	39546	chr1	237042184	237833988	RYR2	181	394
5435	chr1	237042796	237043296	39547	chr1	237042184	237833988	RYR2	181	612
5596	chr1	243255051	243255551	40269	chr1	243256034	243500091	SDCCAG8	183	983
5597	chr1	243255624	243256124	40270	chr1	243256034	243500091	SDCCAG8	183	410
5598	chr1	243256210	243256710	40271	chr1	243256034	243500091	SDCCAG8	183	176
5710	chr1	246723541	246724041	41104	chr1	246724409	246768137	SCCPDH	185	868
5711	chr1	246724098	246724598	41105	chr1	246724409	246768137	SCCPDH	185	311
5712	chr1	246724760	246725260	41106	chr1	246724409	246768137	SCCPDH	185	351
5716	chr1	248850845	248851345	41233	chr1	248850006	248859144	ZNF692	186	839
5723	chr2	1631080	1631580	41578	chr2	1631887	1744852	PXDN	187	807
6027	chr2	9473548	9474048	43641	chr2	9473658	9496543	IAH1	191	110
6028	chr2	9474296	9474796	43642	chr2	9473658	9496543	IAH1	191	638
6055	chr2	10042587	10043087	43803	chr2	10042849	10054836	KLF11	193	262
6056	chr2	10043214	10043714	43804	chr2	10042849	10054836	KLF11	193	365
6057	chr2	10043768	10044268	43805	chr2	10042849	10054836	KLF11	193	919
6065	chr2	15590954	15591454	44884	chr2	15591178	15631111	DDX1	194	224
6066	chr2	15591577	15592077	44885	chr2	15591178	15631111	DDX1	194	399
6130	chr2	23926399	23926899	46475	chr2	23927285	24004909	UBXN2A	197	886
6131	chr2	23926935	23927435	46476	chr2	23927285	24004909	UBXN2A	197	350
6132	chr2	23927470	23927970	46477	chr2	23927285	24004909	UBXN2A	197	185
6142	chr2	24792612	24793112	46634	chr2	24793136	24822376	CENPO	198	524
6143	chr2	24793128	24793628	46635	chr2	24793136	24822376	CENPO	198	8
6144	chr2	24793745	24794245	46636	chr2	24793136	24822376	CENPO	198	609
6148	chr2	24943598	24944098	46668	chr2	24943636	24972094	DNAJC27	199	38
6149	chr2	24944615	24945115	46669	chr2	24943636	24972094	DNAJC27	199	979
6159	chr2	26033683	26034183	46956	chr2	26034084	26137454	RAB10	200	401
6160	chr2	26034667	26035167	46957	chr2	26034084	26137454	RAB10	200	583
6174	chr2	27662850	27663350	47398	chr2	27663471	27694976	SLC4A1AP	201	621
6175	chr2	27663385	27663885	47399	chr2	27663471	27694976	SLC4A1AP	201	86
6176	chr2	27663887	27664387	47400	chr2	27663471	27694976	SLC4A1AP	201	416
6182	chr2	32277629	32278129	48062	chr2	32277904	32316594	YIPF4	203	275
6184	chr2	32627773	32628273	48083	chr2	32628032	32821051	TTC27	204	259
6204	chr2	36354971	36355471	48512	chr2	36355778	36551135	CRIM1	205	807
6205	chr2	36355494	36355994	48513	chr2	36355778	36551135	CRIM1	205	284
6206	chr2	36356167	36356667	48514	chr2	36355778	36551135	CRIM1	205	389
6277	chr2	37230868	37231368	48649	chr2	37231631	37253403	NDUFAF7	207	763
6278	chr2	37231371	37231871	48650	chr2	37231631	37253403	NDUFAF7	207	260
6279	chr2	37232178	37232678	48651	chr2	37231631	37253403	NDUFAF7	207	547
6280	chr2	39248370	39248870	48987	chr2	39249266	39437301	MAP4K3	208	896
6307	chr2	39664328	39664828	49060	chr2	39664982	39717963	TMEM178A	209	654
6308	chr2	39664962	39665462	49061	chr2	39664982	39717963	TMEM178A	209	20
6309	chr2	39665663	39666163	49062	chr2	39664982	39717963	TMEM178A	209	681
6337	chr2	39736816	39737316	49094	chr2	39736060	39779267	THUMPD2	210	756
6342	chr2	40096277	40096777	49121	chr2	40097270	40611053	SLC8A1	211	993
6470	chr2	43636978	43637478	49728	chr2	43637260	43767987	PLEKHH2	212	282
6471	chr2	43637491	43637991	49729	chr2	43637260	43767987	PLEKHH2	212	231
6489	chr2	44167224	44167724	49821	chr2	44167969	44244384	PPM1B	213	745
6490	chr2	44167792	44168292	49822	chr2	44167969	44244384	PPM1B	213	177
6491	chr2	44168300	44168800	49823	chr2	44167969	44244384	PPM1B	213	331
6492	chr2	44168867	44169367	49824	chr2	44167969	44244384	PPM1B	213	898
6852	chr2	53786216	53786716	51641	chr2	53787044	53818819	ERLEC1	215	828
6853	chr2	53786734	53787234	51642	chr2	53787044	53818819	ERLEC1	215	310
6854	chr2	53787279	53787779	51643	chr2	53787044	53818819	ERLEC1	215	235
